LocationID,ClientID,Latitude,Longitude,Demand,TimeWindow
2,1,12.341057283841172,-71.72383742283766,25.0,13:05-14:05
3,2,12.310993056459779,-71.71925230381949,9.0,13:15-14:15
4,3,12.326780825530541,-71.66818980959306,18.0,10:00-10:60
5,4,12.330562,-71.69453,22.0,12:45-13:45
6,5,12.346781,-71.70892,13.0,14:35-15:35
7,6,12.315673,-71.74231,4.0,08:45-09:45
8,7,12.298345,-71.72056,5.0,08:56-09:56
9,8,12.322089,-71.68234,10.0,08:00-09:00
10,9,12.305627,-71.70123,9.0,14:03-15:03
11,10,12.337812,-71.73567,9.0,14:15-15:15
12,11,12.313405,-71.6789,10.0,08:15-09:15
13,12,12.319872,-71.72789,24.0,12:55-13:55
14,13,12.332456,-71.71234,12.0,14:25-15:25
15,14,12.347123,-71.69876,15.0,14:45-15:45
16,15,12.32584376258751,-71.75790167188727,30.0,08:30-09:48
17,16,12.337384051323127,-71.72085928121443,34.0,12:45-13:59
18,17,12.339125902536002,-71.75834322791852,32.0,13:00-14:16
